external_ref_id,our_trade_id,timestamp,symbol,quantity,price,counterparty_id
EXT000061,TRD000096,2024-01-15T16:01:00.000Z,NVDA,2982,232.73,CP7
EXT000062,TRD000097,2024-01-15T14:32:00.000Z,INVALID_SYM,6634,359.17,CP2
EXT000063,TRD000098,2024-01-15T18:52:00.000Z,JPM,3784,374.09,CP16
EXT000064,TRD000100,2024-01-15T19:59:00.000Z,TSLA,6390,110.61,CP19
EXT000065,TRD000104,2024-01-15T18:31:00.000Z,META,3030,299.04,CP15
EXT000066,TRD000105,2024-01-15T16:48:00.000Z,INVALID_SYM,236,313.15,CP17
EXT000067,TRD000107,2024-01-15T15:15:00.000Z,AAPL,6642,526.62,CP3
EXT000068,TRD000109,2024-01-15T15:43:00.000Z,GOOGL,7219,285.42,CP5
EXT000069,TRD000110,2024-01-15T15:48:00.000Z,NVDA,2049,478.96,CP8
EXT000070,TRD000111,2024-01-15T14:23:00.000Z,GOOGL,4758,76.34,CP1
EXT000071,TRD000112,2024-01-15T15:43:00.000Z,GOOGL,9563,352.69,CP17
EXT000072,TRD000113,2024-01-15T19:03:00.000Z,AAPL,1897,520.64,CP10
EXT000073,TRD000116,2024-01-15T17:30:00.000Z,NVDA,4218,137.58,CP2
EXT000074,TRD000118,2024-01-15T15:47:00.000Z,NVDA,4797,81.67999999,CP6
EXT000075,TRD000119,2024-01-15T18:32:00.000Z,INVALID_SYM,1369,424.35,CP5
EXT000076,TRD000120,2024-01-15T16:10:00.000Z,AMZN,6246,,CP4
EXT000077,TRD000121,2024-01-15T18:22:00.000Z,JPM,6303,162.20,CP6
EXT000078,TRD000122,2024-01-15T20:54:00.000Z,INVALID_SYM,9369,206.14,CP5
EXT000079,TRD000126,2024-01-15T18:51:00.000Z,META,7978,273.20,CP6
EXT000080,TRD000127,2024-01-15T20:55:00.000Z,MSFT,9869,284.12,CP2
EXT000081,TRD000128,2024-01-15T17:56:00.000Z,AAPL,,356.50,CP7
EXT000082,TRD000129,2024-01-15T19:09:00.000Z,TSLA,4447,340.14999998999997,CP17
EXT000083,TRD000131,2024-01-15T17:41:00.000Z,INVALID_SYM,4173,523.47,CP6
EXT000084,TRD000132,2024-01-15T16:01:00.000Z,META,5975,62.81,CP15
EXT000085,TRD000133,2024-01-15T15:59:00.000Z,INVALID_SYM,2390,158.64,CP4
EXT000086,TRD000134,2024-01-15T14:14:00.000Z,META,6338,130.67,CP13
EXT000087,TRD000135,2024-01-15T19:08:00.000Z,MSFT,2701,81.28,CP6
EXT000088,TRD000136,2024-01-15T18:14:00.000Z,BAC,5580,360.80,CP4
EXT000089,TRD000137,2024-01-15T17:12:00.000Z,GOOGL,568,335.91,CP8
EXT000090,TRD000138,2024-01-15T17:37:00.000Z,MSFT,4938,523.40,CP10
EXT000091,TRD000139,2024-01-15T20:15:00.000Z,TSLA,5507,441.06,CP19
EXT000092,TRD000142,2024-01-15T19:16:00.000Z,GOOGL,7396,100.75,CP17
EXT000093,TRD000143,2024-01-15T14:03:00.000Z,NVDA,2601,489.02,CP18
EXT000094,TRD000144,2024-01-15T19:04:00.000Z,TSLA,5367,75.69,CP1
EXT000095,TRD000149,2024-01-15T17:36:00.000Z,GOOGL,9952,82.80999999,CP1
EXT000096,TRD000153,2024-01-15T19:23:00.000Z,AMZN,423,294.14999998999997,CP20
EXT000097,TRD000154,2024-01-15T14:59:00.000Z,BAC,5106,511.46,CP16
EXT000098,TRD000155,2024-01-15T16:57:00.000Z,INVALID_SYM,3957,270.32,CP4
EXT000099,TRD000156,2024-01-15T15:23:00.000Z,NVDA,2427,330.63999999,CP5
EXT000100,TRD000158,2024-01-15T19:49:00.000Z,MSFT,9332,112.29,CP9
EXT000101,TRD000159,2024-01-15T19:29:00.000Z,AMZN,577,124.02,CP9
EXT000102,TRD000162,2024-01-15T16:30:00.000Z,AAPL,5970,137.27999999000002,CP11
EXT000103,TRD000164,2024-01-15T18:24:00.000Z,JPM,7431,276.03999998999996,CP14
EXT000104,TRD000166,2024-01-15T14:04:00.000Z,BAC,9196,175.89,CP4
EXT000105,TRD000169,2024-01-15T14:54:00.000Z,AMZN,2870,171.76,CP18
EXT000106,TRD000170,2024-01-15T15:08:00.000Z,MSFT,1011,114.05,CP13
EXT000107,TRD000173,2024-01-15T19:33:00.000Z,JPM,9876,156.58,CP8
EXT000108,TRD000174,2024-01-15T18:25:00.000Z,BAC,1056,238.85,CP10
EXT000109,TRD000175,2024-01-15T17:19:00.000Z,MSFT,582,,CP17
EXT000110,TRD000176,2024-01-15T20:22:00.000Z,NVDA,5470,548.53,CP9
EXT000111,TRD000177,2024-01-15T19:49:00.000Z,INVALID_SYM,4559,380.32999999,CP15
EXT000112,TRD000179,2024-01-15T18:52:00.000Z,MSFT,7922,456.37,CP16
EXT000113,TRD000180,2024-01-15T20:51:00.000Z,AAPL,7876,88.91,CP6
EXT000114,TRD000182,2024-01-15T19:39:00.000Z,MSFT,6278,61.41,CP1
EXT000115,TRD000183,2024-01-15T18:50:00.000Z,JPM,3827,198.66999999,CP5
EXT000116,TRD000185,2024-01-15T20:43:00.000Z,TSLA,3070,252.79,CP10
EXT000117,TRD000186,2024-01-15T16:17:00.000Z,NVDA,6111,461.20,CP14
EXT000118,TRD000187,2024-01-15T17:54:00.000Z,INVALID_SYM,5931,177.82,CP11
EXT000119,TRD000188,2024-01-15T20:25:00.000Z,MSFT,4566,106.25999999,CP4
EXT000120,TRD000189,2024-01-15T18:34:00.000Z,NVDA,5285,236.92,CP14
EXT000121,TRD000190,2024-01-15T16:23:00.000Z,INVALID_SYM,9267,505.04,CP2
EXT000122,TRD000191,2024-01-15T14:39:00.000Z,JPM,2835,363.26,CP7
EXT000123,TRD000193,2024-01-15T14:15:00.000Z,JPM,6599,199.08,CP14
EXT000124,TRD000194,2024-01-15T14:05:00.000Z,TSLA,2539,463.70,CP9
EXT000125,TRD000196,2024-01-15T17:42:00.000Z,META,4482,479.26,CP7
EXT000126,TRD000197,2024-01-15T16:04:00.000Z,MSFT,6763,499.58,CP8
EXT000127,TRD000199,2024-01-15T15:43:00.000Z,BAC,1374,314.31,CP14
EXT000128,TRD000200,2024-01-15T17:07:00.000Z,BAC,2932,408.57,CP17
EXT000129,TRD000201,2024-01-15T16:55:00.000Z,MSFT,5808,300.47999999,CP11
EXT000130,TRD000202,2024-01-15T20:15:00.000Z,JPM,7289,187.32,CP6
EXT000131,TRD000206,2024-01-15T18:34:00.000Z,NVDA,5122,53.68,CP1
EXT000132,TRD000207,2024-01-15T19:19:00.000Z,GOOGL,572,81.21,CP7
EXT000133,TRD000209,2024-01-15T20:17:00.000Z,AMZN,7667,392.08,CP13
EXT000134,TRD000210,2024-01-15T14:57:00.000Z,GOOGL,7045,301.65,CP6
EXT000135,TRD000211,2024-01-15T17:21:00.000Z,JPM,837,399.56,CP15
EXT000136,TRD000212,2024-01-15T16:08:00.000Z,AAPL,7149,295.42,CP13
EXT000137,TRD000218,2024-01-15T17:33:00.000Z,BAC,5003,55.05,CP10
EXT000138,TRD000219,2024-01-15T19:48:00.000Z,META,3758,206.19,CP6
EXT000139,TRD000220,2024-01-15T17:05:00.000Z,JPM,2186,70.67,CP6
EXT000140,TRD000221,2024-01-15T20:39:00.000Z,NVDA,333,516.76,CP14
EXT000141,TRD000223,2024-01-15T19:51:00.000Z,JPM,6118,300.42,CP19
EXT000142,TRD000224,2024-01-15T18:07:00.000Z,INVALID_SYM,161,460.41,CP1
EXT000143,TRD000225,2024-01-15T20:15:00.000Z,TSLA,6236,512.16,CP12
EXT000144,TRD000226,2024-01-15T16:04:00.000Z,GOOGL,5914,286.29,CP8
EXT000145,TRD000227,2024-01-15T19:24:00.000Z,INVALID_SYM,5607,200.51,CP5
EXT000146,TRD000228,2024-01-15T19:00:00.000Z,MSFT,3735,337.03,CP3
EXT000147,TRD000229,2024-01-15T19:34:00.000Z,NVDA,2229,524.77,CP10
EXT000148,TRD000230,2024-01-15T18:10:00.000Z,BAC,9786,411.97,CP4
EXT000149,TRD000231,2024-01-15T17:16:00.000Z,BAC,2204,279.47999999,CP8
EXT000150,TRD000233,2024-01-15T15:10:00.000Z,INVALID_SYM,6023,279.46,CP6
EXT000151,TRD000235,2024-01-15T17:00:00.000Z,JPM,2190,305.32,CP10
EXT000152,TRD000236,2024-01-15T16:11:00.000Z,AMZN,3566,74.55,CP5
EXT000153,TRD000238,2024-01-15T17:33:00.000Z,TSLA,5774,190.50,CP9
EXT000154,TRD000240,2024-01-15T20:50:00.000Z,GOOGL,972,276.45,CP18
EXT000155,TRD000241,2024-01-15T17:19:00.000Z,INVALID_SYM,3892,416.30,CP14
EXT000156,TRD000242,2024-01-15T15:36:00.000Z,JPM,6505,299.51,CP18
EXT000157,TRD000244,2024-01-15T20:50:00.000Z,AMZN,3846,546.53,CP6
EXT000158,TRD000245,2024-01-15T15:12:00.000Z,TSLA,4875,224.68,CP12
EXT000159,TRD000246,2024-01-15T18:04:00.000Z,NVDA,7383,50.339999989999995,CP2
EXT000160,TRD000251,2024-01-15T14:22:00.000Z,TSLA,1185,107.68,CP11
EXT000161,TRD000252,2024-01-15T16:04:00.000Z,AAPL,8965,348.61,CP18
EXT000162,TRD000253,2024-01-15T20:39:00.000Z,BAC,6578,447.85,CP12
EXT000163,TRD000254,2024-01-15T14:10:00.000Z,BAC,5104,366.93,CP20
EXT000164,TRD000256,2024-01-15T16:07:00.000Z,TSLA,,92.90,CP15
EXT000165,TRD000258,2024-01-15T19:21:00.000Z,JPM,3563,341.90,CP12
EXT000166,TRD000261,2024-01-15T17:57:00.000Z,BAC,9300,515.65999999,CP16
EXT000167,TRD000262,2024-01-15T19:54:00.000Z,AMZN,6145,111.08,CP6
EXT000168,TRD000263,2024-01-15T16:10:00.000Z,AMZN,5774,219.23,CP4
EXT000169,TRD000264,2024-01-15T19:29:00.000Z,TSLA,1307,422.96,CP19
EXT000170,TRD000265,2024-01-15T18:52:00.000Z,AAPL,1078,280.18,CP18
EXT000171,TRD000266,2024-01-15T19:45:00.000Z,BAC,4594,470.12,CP16
EXT000172,TRD000267,2024-01-15T19:00:00.000Z,TSLA,4468,107.63,CP20
EXT000173,TRD000268,2024-01-15T14:29:00.000Z,INVALID_SYM,2347,112.58,CP16
EXT000174,TRD000269,2024-01-15T18:21:00.000Z,JPM,7013,55.34,CP20
EXT000175,TRD000271,2024-01-15T19:17:00.000Z,INVALID_SYM,9162,286.12,CP18
EXT000176,TRD000272,2024-01-15T17:31:00.000Z,NVDA,9101,81.80999999,CP5
EXT000177,TRD000274,2024-01-15T20:45:00.000Z,JPM,6264,133.30,CP14
EXT000178,TRD000275,2024-01-15T14:49:00.000Z,NVDA,1586,176.33,CP3
EXT000179,TRD000276,2024-01-15T19:03:00.000Z,NVDA,3225,72.31,CP3
EXT000180,TRD000277,2024-01-15T17:57:00.000Z,MSFT,,243.34,CP4
EXT000181,TRD000279,2024-01-15T16:37:00.000Z,AMZN,6569,369.12,CP4
EXT000182,TRD000280,2024-01-15T15:26:00.000Z,JPM,7897,54.47,CP20
EXT000183,TRD000281,2024-01-15T15:46:00.000Z,GOOGL,10024,466.68,CP5
EXT000184,TRD000283,2024-01-15T15:58:00.000Z,META,8563,199.45,CP18
EXT000185,TRD000284,2024-01-15T15:20:00.000Z,INVALID_SYM,9970,243.75,CP12
EXT000186,TRD000285,2024-01-15T20:06:00.000Z,BAC,5867,78.02,CP14
EXT000187,TRD000286,2024-01-15T17:23:00.000Z,JPM,1456,171.53,CP17
EXT000188,TRD000288,2024-01-15T16:53:00.000Z,AMZN,1731,544.17,CP2
EXT000189,TRD000289,2024-01-15T17:13:00.000Z,AAPL,5855,318.75,CP4
EXT000190,TRD000290,2024-01-15T15:14:00.000Z,NVDA,1540,483.78,CP7
EXT000191,TRD000292,2024-01-15T14:00:00.000Z,GOOGL,2338,119.14,CP11
EXT000192,TRD000293,2024-01-15T20:24:00.000Z,INVALID_SYM,8787,419.98,CP17
EXT000193,TRD000294,2024-01-15T18:47:00.000Z,AAPL,1626,425.52999998999996,CP10
EXT000194,TRD000296,2024-01-15T18:50:00.000Z,BAC,1227,107.15,CP20
EXT000195,TRD000297,2024-01-15T16:10:00.000Z,TSLA,771,513.47,CP9
EXT000196,TRD000298,2024-01-15T17:20:00.000Z,AAPL,2528,335.47,CP9
EXT000197,TRD000301,2024-01-15T16:06:00.000Z,BAC,7313,240.38,CP15
EXT000198,TRD000302,2024-01-15T20:22:00.000Z,BAC,5883,454.69,CP2
EXT000199,TRD000303,2024-01-15T19:06:00.000Z,JPM,2172,137.18,CP10
EXT000200,TRD000304,2024-01-15T17:08:00.000Z,AMZN,430,546.23,CP8
EXT000201,TRD000307,2024-01-15T14:32:00.000Z,GOOGL,9058,259.68999999,CP1
EXT000202,TRD000308,2024-01-15T19:00:00.000Z,AAPL,469,432.48,CP9
EXT000203,TRD000309,2024-01-15T20:11:00.000Z,BAC,3126,362.96,CP9
EXT000204,TRD000310,2024-01-15T20:34:00.000Z,TSLA,9535,,CP14
EXT000205,TRD000311,2024-01-15T19:07:00.000Z,GOOGL,1814,324.39,CP20
EXT000206,TRD000312,2024-01-15T18:16:00.000Z,META,2811,295.19,CP13
EXT000207,TRD000313,2024-01-15T20:55:00.000Z,AAPL,4826,284.75,CP13
EXT000208,TRD000314,2024-01-15T18:12:00.000Z,META,9327,442.17,CP12
EXT000209,TRD000315,2024-01-15T17:39:00.000Z,MSFT,1108,98.37,CP11
EXT000210,TRD000316,2024-01-15T19:21:00.000Z,NVDA,6496,507.79,CP4
EXT000211,TRD000317,2024-01-15T17:05:00.000Z,MSFT,4941,266.26,CP13
EXT000212,TRD000318,2024-01-15T17:07:00.000Z,INVALID_SYM,5236,511.18,CP13
EXT000213,TRD000319,2024-01-15T18:18:00.000Z,MSFT,8951,273.47,CP6
EXT000214,TRD000320,2024-01-15T15:24:00.000Z,JPM,3662,448.72999999,CP17
EXT000215,TRD000323,2024-01-15T20:43:00.000Z,META,3412,361.55,CP13
EXT000216,TRD000324,2024-01-15T17:11:00.000Z,BAC,755,261.55,CP18
EXT000217,TRD000325,2024-01-15T17:42:00.000Z,AMZN,7322,399.44,CP16
EXT000218,TRD000327,2024-01-15T15:53:00.000Z,MSFT,1858,65.60,CP9
EXT000219,TRD000330,2024-01-15T16:59:00.000Z,AAPL,8579,432.00,CP9
EXT000220,TRD000331,2024-01-15T20:34:00.000Z,BAC,1434,435.53,CP16
EXT000221,TRD000332,2024-01-15T19:25:00.000Z,MSFT,1451,508.27,CP11
EXT000222,TRD000333,2024-01-15T18:44:00.000Z,NVDA,,,CP4
EXT000223,TRD000334,2024-01-15T14:09:00.000Z,GOOGL,3847,295.85,CP19
EXT000224,TRD000336,2024-01-15T14:32:00.000Z,MSFT,3837,177.21,CP4
EXT000225,TRD000337,2024-01-15T17:44:00.000Z,JPM,6580,56.06,CP19
EXT000226,TRD000341,2024-01-15T18:09:00.000Z,TSLA,6755,396.06,CP10
EXT000227,TRD000342,2024-01-15T14:34:00.000Z,INVALID_SYM,872,97.87,CP19
EXT000228,TRD000343,2024-01-15T17:29:00.000Z,META,1555,532.67,CP19
EXT000229,TRD000345,2024-01-15T15:15:00.000Z,TSLA,6977,98.05,CP13
EXT000230,TRD000346,2024-01-15T20:48:00.000Z,META,2746,55.28,CP1
EXT000231,TRD000348,2024-01-15T15:16:00.000Z,AAPL,629,54.98,CP2
EXT000232,TRD000350,2024-01-15T16:24:00.000Z,JPM,211,391.09,CP1
EXT000233,TRD000351,2024-01-15T18:04:00.000Z,JPM,742,172.68,CP6
EXT000234,TRD000352,2024-01-15T19:19:00.000Z,INVALID_SYM,5673,385.57,CP5
EXT000235,TRD000358,2024-01-15T15:14:00.000Z,MSFT,10000,110.71,CP11
EXT000236,TRD000359,2024-01-15T20:17:00.000Z,JPM,8922,236.49,CP11
EXT000237,TRD000360,2024-01-15T15:19:00.000Z,MSFT,8970,96.12,CP3
EXT000238,TRD000361,2024-01-15T17:16:00.000Z,AAPL,3189,173.47,CP20
EXT000239,TRD000362,2024-01-15T19:10:00.000Z,META,8329,468.43,CP8
EXT000240,TRD000363,2024-01-15T15:42:00.000Z,MSFT,8551,392.88,CP1
EXT000241,TRD000364,2024-01-15T18:51:00.000Z,INVALID_SYM,7387,415.13,CP16
EXT000242,TRD000365,2024-01-15T19:00:00.000Z,JPM,6435,61.05,CP11
EXT000243,TRD000367,2024-01-15T16:16:00.000Z,AMZN,7910,344.17,CP2
EXT000244,TRD000368,2024-01-15T15:26:00.000Z,TSLA,684,267.14999998999997,CP8
EXT000245,TRD000369,2024-01-15T20:33:00.000Z,AAPL,9611,92.55,CP5
EXT000246,TRD000370,2024-01-15T15:38:00.000Z,JPM,5339,520.53,CP18
EXT000247,TRD000371,2024-01-15T16:55:00.000Z,MSFT,10037,96.62,CP11
EXT000248,TRD000372,2024-01-15T18:31:00.000Z,AAPL,1863,262.37,CP8
EXT000249,TRD000373,2024-01-15T18:33:00.000Z,AAPL,1759,442.74,CP12
EXT000250,TRD000374,2024-01-15T15:37:00.000Z,JPM,4741,224.59,CP2
EXT000251,TRD000375,2024-01-15T19:14:00.000Z,AAPL,3532,190.86,CP2
EXT000252,TRD000376,2024-01-15T17:55:00.000Z,NVDA,8497,530.60,CP4
EXT000253,TRD000377,2024-01-15T17:00:00.000Z,NVDA,4802,515.19,CP2
EXT000254,TRD000378,2024-01-15T17:43:00.000Z,META,4404,532.11,CP13
EXT000255,TRD000379,2024-01-15T19:58:00.000Z,MSFT,2746,158.94,CP14
EXT000256,TRD000380,2024-01-15T16:36:00.000Z,AAPL,3111,424.94,CP18
EXT000257,TRD000382,2024-01-15T19:05:00.000Z,AAPL,2127,256.48,CP1
EXT000258,TRD000384,2024-01-15T15:03:00.000Z,BAC,3974,510.90,CP19
EXT000259,TRD000387,2024-01-15T17:11:00.000Z,AAPL,1468,217.58,CP18
EXT000260,TRD000388,2024-01-15T15:46:00.000Z,AMZN,9025,200.25,CP2
EXT000261,TRD000389,2024-01-15T14:13:00.000Z,JPM,3334,162.53,CP4
EXT000262,TRD000390,2024-01-15T14:39:00.000Z,MSFT,6839,79.76,CP13
EXT000263,TRD000393,2024-01-15T18:36:00.000Z,INVALID_SYM,395,372.44,CP5
EXT000264,TRD000394,2024-01-15T14:57:00.000Z,NVDA,,,CP14
EXT000265,TRD000395,2024-01-15T16:42:00.000Z,NVDA,6301,118.29,CP14
EXT000266,TRD000396,2024-01-15T16:41:00.000Z,TSLA,2590,81.35,CP20
EXT000267,TRD000398,2024-01-15T15:04:00.000Z,AMZN,1358,286.50,CP19
EXT000268,TRD000399,2024-01-15T20:04:00.000Z,NVDA,8082,188.83,CP5
EXT000269,TRD000401,2024-01-15T17:28:00.000Z,AMZN,4692,252.33,CP8
EXT000270,TRD000402,2024-01-15T14:12:00.000Z,GOOGL,8550,265.72,CP5
EXT000271,TRD000403,2024-01-15T20:57:00.000Z,JPM,5487,302.36,CP1
EXT000272,TRD000405,2024-01-15T16:11:00.000Z,AMZN,1252,438.60,CP11
EXT000273,TRD000406,2024-01-15T17:04:00.000Z,INVALID_SYM,2967,546.17,CP14
EXT000274,TRD000407,2024-01-15T20:19:00.000Z,AAPL,6830,408.97,CP14
EXT000275,TRD000408,2024-01-15T14:02:00.000Z,MSFT,207,86.22,CP18
EXT000276,TRD000411,2024-01-15T16:20:00.000Z,INVALID_SYM,5778,146.59,CP10
EXT000277,TRD000413,2024-01-15T19:47:00.000Z,INVALID_SYM,10072,439.14,CP13
EXT000278,TRD000414,2024-01-15T15:44:00.000Z,JPM,347,65.47,CP1
EXT000279,TRD000416,2024-01-15T14:12:00.000Z,AAPL,7816,303.54,CP20
EXT000280,TRD000418,2024-01-15T16:21:00.000Z,MSFT,1785,536.41,CP2
EXT000281,TRD000419,2024-01-15T18:15:00.000Z,MSFT,9852,273.33,CP19
EXT000282,TRD000420,2024-01-15T14:31:00.000Z,MSFT,5536,317.93,CP13
EXT000283,TRD000421,2024-01-15T14:41:00.000Z,GOOGL,6513,513.82,CP14
EXT000284,TRD000422,2024-01-15T18:32:00.000Z,TSLA,6910,,CP14
EXT000285,TRD000423,2024-01-15T17:55:00.000Z,INVALID_SYM,2552,146.90,CP19
EXT000286,TRD000426,2024-01-15T19:53:00.000Z,GOOGL,971,66.93,CP4
EXT000287,TRD000427,2024-01-15T15:08:00.000Z,JPM,1983,129.48,CP20
EXT000288,TRD000428,2024-01-15T18:49:00.000Z,TSLA,680,412.68,CP3
EXT000289,TRD000429,2024-01-15T15:12:00.000Z,AAPL,731,80.13,CP4
EXT000290,TRD000432,2024-01-15T19:40:00.000Z,META,1982,125.62,CP12
EXT000291,TRD000433,2024-01-15T17:15:00.000Z,TSLA,2704,445.67,CP10
EXT000292,TRD000434,2024-01-15T19:56:00.000Z,TSLA,8175,137.18,CP8
EXT000293,TRD000435,2024-01-15T17:57:00.000Z,NVDA,4964,94.77,CP5
EXT000294,TRD000436,2024-01-15T18:12:00.000Z,JPM,5943,134.21,CP12
EXT000295,TRD000437,2024-01-15T14:15:00.000Z,BAC,6550,548.10,CP18
EXT000296,TRD000438,2024-01-15T18:52:00.000Z,TSLA,2600,304.64,CP11
EXT000297,TRD000439,2024-01-15T17:23:00.000Z,JPM,5932,202.75,CP13
EXT000298,TRD000440,2024-01-15T18:13:00.000Z,AMZN,3072,209.40,CP13
EXT000299,TRD000441,2024-01-15T15:54:00.000Z,MSFT,8179,326.01,CP1
EXT000300,TRD000442,2024-01-15T19:25:00.000Z,NVDA,2968,171.71,CP6
EXT000301,TRD000444,2024-01-15T17:17:00.000Z,META,4466,429.24,CP5
EXT000302,TRD000448,2024-01-15T16:05:00.000Z,BAC,1707,305.89,CP9
EXT000303,TRD000449,2024-01-15T15:05:00.000Z,TSLA,2389,303.01,CP20
EXT000304,TRD000450,2024-01-15T15:03:00.000Z,MSFT,2368,123.46,CP7
EXT000305,TRD000451,2024-01-15T16:25:00.000Z,GOOGL,829,484.69,CP17
EXT000306,TRD000452,2024-01-15T20:01:00.000Z,GOOGL,8119,383.13,CP14
EXT000307,TRD000454,2024-01-15T20:20:00.000Z,NVDA,9700,495.53,CP1
EXT000308,TRD000455,2024-01-15T15:22:00.000Z,META,9134,492.15,CP7
EXT000309,TRD000456,2024-01-15T18:48:00.000Z,TSLA,9838,284.55999999,CP10
